期号,总销售额,红球,蓝球,一等奖省份
2022149,305443962,"02,22,26,29,32,33",14,"河北2注,辽宁1注,江苏1注,浙江1注,云南2注,共7注。"
2022148,328466772,"02,15,16,17,21,31",14,"山西1注,吉林1注,浙江2注,福建1注,江西1注,湖南1注,广东1注,深圳1注,共9注。"
2022147,308727648,"02,03,07,13,20,30",10,"北京1注,河北1注,浙江1注,福建2注,河南2注,湖北2注,广东2注,广西2注,四川1注,云南1注,新疆2注,共17注。"
2022146,319241960,"06,07,13,18,26,31",06,"河北1注,辽宁1注,江苏1注,广东1注,广西1注,四川3注,云南1注,共9注。"
2022145,366333090,"03,21,25,30,31,33",11,"浙江2注,广西1注,陕西1注,共4注。其中一等奖特别奖为：浙江1注,广西1注,陕西1注。"
2022144,400859910,"07,20,22,23,31,32",05,"江苏2注,云南6注,陕西2注,甘肃1注,共11注。其中一等奖特别奖为：甘肃1注。"
2022143,397641696,"07,08,13,29,30,33",03,"辽宁1注,浙江2注,福建3注,江西3注,山东1注,广东1注,广西1注,海南1注,四川1注,云南1注,共15注。其中一等奖特别奖为：浙江2注,江西2注,山东1注,广东1注,海南1注,四川1注,云南1注。"
2022142,440572602,"01,03,13,16,21,27",03,"河北2注,江苏1注,浙江4注,山东2注,湖南2注,深圳1注,共12注。其中一等奖特别奖为：河北1注,江苏1注,浙江3注,湖南2注,深圳1注。"
2022141,415110854,"05,12,13,17,20,27",14,"江苏2注,山东5注,湖北1注,广东11注,宁夏1注,新疆1注,共21注。其中一等奖特别奖为：湖北1注,广东11注,宁夏1注,新疆1注。"
2022140,397499610,"08,09,18,19,20,27",15,"河北1注,辽宁2注,江苏2注,浙江2注,安徽1注,重庆2注,广东2注,广西1注,云南1注,宁夏5注,共19注。其中一等奖特别奖为：辽宁1注,江苏2注,浙江2注,重庆2注,广东2注,云南1注。"
2022139,421220444,"06,07,09,16,17,19",14,"北京1注,河北1注,内蒙古1注,上海2注,江苏1注,山东2注,湖南1注,广东1注,四川1注,云南1注,共12注。其中一等奖特别奖为：北京1注,河北1注,上海1注,江苏1注,山东2注,广东1注,四川1注,云南1注。"
2022138,382295872,"02,14,19,21,25,28",11,"河北1注,新疆1注,共2注。其中一等奖特别奖为：河北1注,新疆1注。"
2022137,380398430,"08,21,23,27,28,33",01,"辽宁1注,浙江1注,福建2注,山东1注,广东2注,云南1注,共8注。其中一等奖特别奖为：辽宁1注,浙江1注,福建2注,山东1注,广东2注,云南1注。"
2022136,412826960,"08,10,14,15,18,22",08,"河北1注,上海2注,浙江3注,河南2注,湖南2注,广西2注,四川3注,云南1注,甘肃1注,新疆2注,共19注。其中一等奖特别奖为：上海1注,浙江3注,河南1注,湖南2注,广西2注,云南1注,新疆1注。"
2022135,402652460,"09,11,13,24,28,32",06,"山西1注,江苏3注,浙江1注,安徽4注,广东2注,云南1注,共12注。其中一等奖特别奖为：山西1注,江苏2注,浙江1注,安徽4注。"
2022134,404859714,"01,05,14,17,24,31",14,"北京1注,河北1注,江苏5注,浙江1注,贵州1注,深圳1注,共10注。其中一等奖特别奖为：北京1注,江苏4注,深圳1注。"
2022133,457083562,"05,08,16,17,21,25",12,"浙江1注,山东2注,河南1注,湖北1注,湖南2注,四川1注,云南1注,陕西1注,深圳1注,共11注。其中一等奖特别奖为：浙江1注,湖北1注,湖南1注,四川1注,云南1注,陕西1注,深圳1注。"
2022132,439981994,"01,03,18,26,32,33",04,"浙江2注,湖北1注,云南1注,共4注。其中一等奖特别奖为：浙江2注,湖北1注。"
2022131,425292626,"03,05,10,13,19,29",06,"内蒙古2注,吉林2注,黑龙江1注,上海1注,江苏1注,江西1注,山东1注,河南1注,湖北1注,广东1注,四川2注,青海5注,共19注。其中一等奖特别奖为：内蒙古2注,吉林1注,上海1注,江苏1注,江西1注,湖北1注,四川2注。"
2022130,446023212,"02,08,15,17,26,28",12,"山西1注,黑龙江3注,江苏5注,浙江6注,福建1注,江西1注,山东7注,重庆3注,河南2注,湖南2注,广东6注,广西1注,海南1注,四川3注,云南3注,甘肃1注,青海1注,宁夏2注,新疆1注,共50注。其中一等奖特别奖为：山西1注,江苏5注,浙江5注,福建1注,江西1注,山东6注,重庆2注,河南1注,湖南2注,广东2注,广西1注,海南1注,四川1注,云南2注,青海1注,宁夏2注,新疆1注。"
2022129,430007836,"10,12,14,22,24,27",07,"辽宁2注,黑龙江1注,浙江1注,福建1注,贵州1注,陕西1注,共7注。其中一等奖特别奖为：辽宁1注,黑龙江1注,浙江1注,贵州1注,陕西1注。"
2022128,420999886,"03,12,18,24,27,29",01,"黑龙江1注,浙江2注,广东2注,广西5注,四川1注,共11注。其中一等奖特别奖为：浙江2注,广东2注,广西5注,四川1注。"
2022127,455409958,"03,04,09,10,29,33",13,"内蒙古1注,辽宁1注,浙江3注,共5注。其中一等奖特别奖为：浙江2注。"
2022126,436137344,"01,13,15,17,26,33",13,"内蒙古1注,浙江1注,四川2注,陕西2注,共6注。其中一等奖特别奖为：浙江1注,四川2注,陕西2注。"
2022125,429659904,"02,03,07,12,20,31",16,"山西1注,山东2注,湖北1注,云南2注,陕西1注,共7注。其中一等奖特别奖为：山西1注,山东1注,云南2注,陕西1注。"
2022124,383396494,"05,10,13,18,24,26",01,"北京1注,安徽1注,海南1注,四川1注,共4注。"
2022123,360850820,"10,13,16,20,21,25",05,"天津1注,内蒙古1注,江苏2注,安徽1注,河南1注,广东1注,广西1注,共8注。"
2022122,350001646,"06,08,17,19,24,28",05,"北京2注,河北2注,山西1注,辽宁1注,浙江3注,安徽1注,山东3注,湖北3注,湖南1注,四川8注,云南1注,共26注。"
2022121,380066114,"12,17,22,27,30,31",02,"河北1注,山东1注,湖南1注,云南5注,共8注。"
2022120,355500194,"02,15,19,26,27,29",02,"上海1注,安徽1注,河南1注,广西40注,共43注。"
2022119,341495720,"02,05,15,18,26,27",04,"山西2注,黑龙江1注,浙江1注,福建2注,湖北1注,广东2注,云南1注,甘肃1注,深圳1注,共12注。"
2022118,374309728,"02,06,07,11,14,33",08,"江苏1注,福建1注,重庆2注,云南1注,共5注。"
2022117,345578024,"04,13,17,18,28,29",06,"江苏2注,浙江1注,福建1注,湖南1注,广东1注,贵州1注,陕西2注,甘肃1注,宁夏1注,共11注。"
2022116,337975208,"08,14,26,27,30,33",01,"江苏1注,共1注。"
2022115,359461828,"06,07,18,20,27,29",09,"辽宁1注,吉林1注,浙江2注,安徽1注,福建1注,山东1注,河南2注,广东12注,四川10注,贵州1注,云南1注,共33注。"
2022114,347069064,"01,05,15,19,26,29",13,"河北3注,黑龙江1注,上海1注,福建1注,山东1注,广东2注,云南2注,青海1注,共12注。"
2022113,363604180,"13,14,20,24,27,29",02,"云南1注,甘肃1注,共2注。"
